anonymous_id,source_id,member_name,faculty,coarse_primary,coarse_memberships,middle_primary,middle_memberships,fine_primary,fine_memberships,residual_flag,middle_stability_score,middle_stability
X033,V-06a,Dum,vritti,C01,C01,M01,M01;M06,F01,F01;F02;F13,no,0.876190,stable
X034,V-06b,kshama,vritti,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X035,V-07a,Tatparta,vritti,C01,C01,M01,M01;M03,F02,F02;F04,no,0.876190,stable
X036,V-07b,utsah,vritti,C01,C01,M01,M01;M07,F02,F02;F12,no,0.876190,stable
X037,V-08a,Kritagyata,vritti,C03,C01;C03,M06,M01;M04;M06;M07,F11,F01;F02;F08;F10;F11;F13,no,0.535714,moderately_stable
X038,V-08b,saumyata,vritti,C01,C01,M01,M01;M07,F02,F02,no,0.876190,stable
X039,V-09a,Gaurav,vritti,C01,C01;C03,M02,M02;M05,F05,F02;F05;F10,yes,0.000000,sensitive_open_field
X040,V-09b,saralta,vritti,C01,C01,M01,M01;M05;M06,F02,F02;F09,no,0.876190,stable
X041,V-10a,Vishwas,vritti,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X042,V-10b,saujanyata,vritti,C02,C01;C02;C03,M03,M01;M03;M07,F04,F02;F04;F12,no,0.344246,sensitive
X043,V-11a,Satya,vritti,C01,C01,M02,M02,F03,F03;F05,yes,0.272727,sensitive_open_field
X044,V-11b,dharma,vritti,C01,C01,M02,M02,F05,F03;F05,yes,0.272727,sensitive_open_field
X045,V-12a,Nyaya,vritti,C03,C01;C03,M06,M06,F11,F11,no,0.888889,stable
X046,V-12b,samvedna,vritti,C01,C01,M01,M01;M07,F02,F02,no,0.876190,stable
X047,V-13a,Tadatmayata,vritti,C01,C01,M01,M01;M07,F02,F01;F02;F12,no,0.876190,stable
X048,V-13b,sahas,vritti,C01,C01,M01,M01;M03;M07,F02,F02;F12,no,0.876190,stable
X049,V-14a,Samyama,vritti,C01,C01,M01,M01;M06,F02,F02,no,0.876190,stable
X050,V-14b,niyam,vritti,C01,C01;C02;C03,M01,M01;M03;M06;M07,F02,F02;F04;F07;F12,no,0.876190,stable
X051,V-15a,Veerta,vritti,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X052,V-15b,dheerta,vritti,C01,C01,M07,M01;M07,F12,F02;F12,no,0.500000,moderately_stable
X053,V-16a,Bhav,vritti,C03,C01;C03,M06,M01;M06,F11,F01;F02;F11;F13,no,0.535714,moderately_stable
X054,V-16b,samveg,vritti,C02,C01;C02;C03,M03,M02;M03,F04,F04;F10,yes,0.063492,sensitive_open_field
X055,V-17a,Jati,vritti,C01,C01;C02,M02,M02,F05,F05,yes,0.272727,sensitive_open_field
X056,V-17b,kaal,vritti,C01,C01;C02,M02,M02,F03,F03;F05,yes,0.000000,sensitive_open_field
X057,V-18a,Tushti,vritti,C01,C01;C02;C03,M01,M01;M03;M06;M07,F02,F02;F04;F06;F07;F13,no,0.876190,stable
X058,V-18b,pushti,vritti,C01,C01;C02;C03,M07,M01;M03;M07;M08,F13,F13,no,0.000000,sensitive
X059,M-01a,Bhakti,mun,C01,C01,M01,M01,F02,F01;F02;F10,no,0.876190,stable
X060,M-01b,tanmayata,mun,C01,C01,M01,M01,F01,F01;F02,no,0.876190,stable
X061,M-02a,Mamta,mun,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X062,M-02b,udarta,mun,C02,C02;C03,M03,M03;M04;M06,F07,F04;F06;F07;F08;F11,no,0.060714,sensitive
X063,M-03a,Samman,mun,C03,C03,M04,M04;M06,F08,F08;F11,no,0.423077,sensitive
X064,M-03b,sauhardta,mun,C01,C01,M01,M01;M02;M05,F01,F03;F09;F10,yes,0.800000,stable_with_open_field
X065,M-04a,Sneha,mun,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X066,M-04b,nishtha,mun,C01,C01,M01,M01,F02,F01;F02,no,0.876190,stable
X067,M-05a,Putra-putri,mun,C03,C03,M04,M04;M06,F08,F08;F11,yes,0.777778,stable_with_open_field
X068,M-05b,anurag,mun,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X069,M-06a,Sathi,mun,C03,C03,M04,M04;M06,F08,F08;F11,yes,0.777778,stable_with_open_field
X070,M-06b,dayitva,mun,C01,C01,M01,M01;M03;M06;M07,F02,F02,no,0.876190,stable
X071,M-07a,Sahyogi,mun,C02,C01;C02;C03,M03,M03;M04,F04,F04,no,0.344246,sensitive
X072,M-07b,kartavya,mun,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X073,M-08a,Svayatta,mun,C02,C02;C03,M03,M03;M04;M08,F06,F06,no,0.383929,sensitive
X074,M-08b,samriddhi,mun,C02,C02,M03,M03,F04,F04;F06,no,0.383929,sensitive
X075,M-09a,Hita,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X076,M-09b,svasthya,mun,C02,C01;C02,M08,M08,F14,F02;F12;F14,no,0.843434,stable
X077,M-10a,Priya,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X078,M-10b,pravrittiyan,mun,C01,C01,M01,M01,F02,F02,no,0.876190,stable
X079,M-11a,Ullas,mun,C01,C01,M01,M05,F10,F10,yes,0.800000,stable_with_open_field
X080,M-11b,haas,mun,C01,C01,M05,M05,F09,F09;F10,yes,0.018519,sensitive_open_field
X081,M-12a,Sheel,mun,C01,C01;C03,M01,M01;M06;M07,F02,F02;F11;F12,no,0.876190,stable
X082,M-12b,sankoch,mun,C03,C03,M04,M04,F08,F07;F08,no,0.811966,stable
X083,M-13a,Guru,mun,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X084,M-13b,pramanik,mun,C01,C01;C03,M01,M01;M03;M06,F02,F02;F13,no,0.876190,stable
X085,M-14a,Shishya,mun,C03,C03,M04,M04,F08,F08,no,0.811966,stable
X086,M-14b,jigyasu,mun,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X087,M-15a,Bhai-mitra,mun,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X088,M-15b,pragati,mun,C02,C01;C02;C03,M03,M02;M03,F04,F04;F05,yes,0.063492,sensitive_open_field
X089,M-16a,Bahan,mun,C03,C03,M06,M06,F11,F11,no,0.888889,stable
X090,M-16b,unnati,mun,C02,C02;C03,M03,M03,F04,F04;F06;F07,yes,0.071429,sensitive_open_field
X091,M-17a,Sweekruti,mun,C01,C01,M01,M01;M02;M05,F10,F02;F03;F04;F05;F09;F10,yes,0.800000,stable_with_open_field
X092,M-17b,swagat,mun,C01,C01,M02,M02;M05,F03,F03;F09,yes,0.033333,sensitive_open_field
X093,M-18a,Ruchi,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X094,M-18b,pehchan,mun,C01,C01;C02,M01,M01;M03,F02,F02;F04;F06;F10,no,0.876190,stable
X095,M-19a,Sukh,mun,C01,C01,M01,M01,F01,F01,no,0.876190,stable
X096,M-19b,sfoorti,mun,C01,C01,M01,M01,F02,F02,no,0.876190,stable
X097,M-20a,Pati-patni,mun,C03,C03,M04,M04;M06,F08,F06;F08;F11,no,0.811966,stable
X098,M-20b,yatitva-satitva,mun,C02,C01;C03,M03,M01;M02;M03;M04;M05,F04,F02;F04;F05;F09;F10,yes,0.063492,sensitive_open_field
X099,M-21a,Mata,mun,C03,C03,M04,M04,F08,F08,yes,0.777778,stable_with_open_field
X100,M-21b,poshan,mun,C02,C02;C03,M03,M03;M06;M07;M08,F07,F06;F07;F12;F13;F14,no,0.071429,sensitive
X101,M-22a,Pita,mun,C03,C03,M04,M04,F08,F08,yes,0.777778,stable_with_open_field
X102,M-22b,sanrakshan,mun,C01,C01;C02;C03,M07,M07,F12,F12,no,0.500000,moderately_stable
X103,M-23a,Mridu-kathor,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X104,M-23b,vahan-samvahan,mun,C02,C02,M03,M02;M03;M08,F04,F04;F05;F13;F14,yes,0.142857,sensitive_open_field
X105,M-24a,Sheet-ushna,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X106,M-24b,poshan,mun,C02,C02,M08,M03;M08,F14,F06;F14,yes,0.777778,stable_with_open_field
X107,M-25a,Khatta,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X108,M-25b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X109,M-26a,Meetha,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X110,M-26b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X111,M-27a,Chirchira-charpara,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X112,M-27b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X113,M-28a,Kadua,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X114,M-28b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X115,M-29a,Kasaila,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X116,M-29b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X117,M-30a,Khara,mun,C02,C02,M08,M08,F14,F14,no,0.843434,stable
X118,M-30b,poshan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X119,M-31a,Sugandh-durgandh,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X120,M-31b,shvasan-nihshvasan,mun,C02,C02,M08,M08,F14,F14,yes,0.777778,stable_with_open_field
X121,M-32a,Suroop-kuroop,mun,C02,C02,M08,M08,F14,F05;F14,yes,0.777778,stable_with_open_field
X122,M-32b,swagat-aswagat,mun,C01,C01;C02,M02,M02;M07;M08,F05,F03;F04;F05;F10;F12;F13;F14,yes,0.033333,sensitive_open_field
