anonymous_id,durability_triggers,durability_class,channel_memberships,u01_score,u02_score,u03_score,u04_score,u05_score,interface_requirements,arrangement_scales,input_residual,trace_basis
X011,D02;D05,D1,U01,12,3,0,5,1,X01;X02,S01;S04,no,U01=dependency:accepted_meaning+dependency:evaluation_discrimination+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X012,D01;D02;D03;D04;D05,D3,U01,17,3,0,11,10,X01;X02;X03;X04,S01;S04;S05,no,U01=consequence:inquiry_discrimination+continuity:inquiry_records_verification+development:feedback_critique+endpoint:communication_representation+endpoint:inquiry_discrimination+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:inquiry_discrimination
X013,D01;D02;D03;D04;D05,D3,U01,11,7,0,5,7,X01;X02;X03;X04,S01;S02;S04,no,U01=continuity:inquiry_records_verification+development:open_inquiry+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward+operation:inquiry_discrimination
X014,D01;D02;D03;D04;D05,D3,U01,14,9,0,6,8,X01;X02;X03;X04,S02;S03;S04;S05,yes,U01=consequence:inquiry_discrimination+continuity:inquiry_records_verification+continuity:intergenerational_transmission+development:feedback_critique+endpoint:inquiry_discrimination+evaluator:skilled_peer+evidence_req:competence_peer_review+operation:inquiry_discrimination
X015,D01;D02;D03;D04;D05,D3,U01;U04,7,4,1,10,6,X01;X03;X04;X05,S01;S02;S03;S04,no,U01=dependency:evaluation_discrimination+development:feedback_critique+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward | U04=consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+development:practice_skill+endpoint:material_provision+operation:material_provision
X016,D01;D02;D03;D04;D05,D3,U04;U05,10,11,0,19,22,X02;X03;X04;X05,S02;S03;S04;S05,no,U04=consequence:material_provision+continuity:ecological_regeneration+correction:ecological_restoration+counterpart:material_ecological+development:material_access+endpoint:ecological_continuity+endpoint:material_provision+evaluator:future_ecological+evidence_req:long_horizon_effect+expression:material_means+false_positive:output_efficiency_proxy+locus:material_ecological+operation:material_provision | U05=consequence:continuity_transmission+continuity:ecological_regeneration+correction:ecological_restoration+correction:repair_restitution+counterpart:collective+counterpart:durable+development:continuity_exposure+development:material_access+endpoint:collective_public+endpoint:continuity_transmission+evaluator:affected_party+evaluator:future_ecological+evidence_req:affected_party_voice+evidence_req:long_horizon_effect+operation:continuity_transmission
X017,D01;D02;D03;D04;D05,D3,U02,9,21,3,5,10,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+correction:dialogue_changed_fulfilment+correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+locus:relational
X018,D01;D02;D03;D04;D05,D3,U02,11,21,2,13,14,X01;X02;X04;X05,S01;S02;S03;S04;S05,no,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+locus:relational+operation:care_development
X019,D01;D02;D03;D04;D05,D3,U02,11,29,6,6,4,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+expression:timing_discretion+locus:relational+operation:care_development+operation:justice_protection
X020,D01;D02;D03;D04;D05,D3,U01;U02,14,13,1,1,11,X01;X02;X04,S01;S02;S03;S04,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+dependency:realised_orientation+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+expression:language_representation+locus:sentient_inward+operation:meaning_truth | U02=correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X021,D01;D02;D03;D04;D05,D3,U01;U02,15,12,5,4,9,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+dependency:evaluation_discrimination+development:open_inquiry+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth | U02=continuity:care_succession_agency+correction:repair_restitution+counterpart:direct+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X022,D01;D02;D03;D05,D3,U01,11,7,0,3,1,X01;X03;X04,S01;S02;S03,yes,U01=consequence:meaning_truth+continuity:intergenerational_transmission+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X023,D01;D02;D03;D04;D05,D3,U01,16,6,0,5,11,X01;X02;X03;X04,S01;S03;S04,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+development:feedback_critique+development:open_inquiry+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward
X024,D01;D02;D05,D3,U01,17,5,0,4,2,X01;X02;X04,S01;S02;S03;S04,no,U01=continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+dependency:evaluation_discrimination+dependency:realised_orientation+development:open_inquiry+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth
X025,D01;D02;D03;D04;D05,D3,U01,20,12,1,3,10,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=consequence:communication_representation+consequence:meaning_truth+continuity:inquiry_records_verification+dependency:contemplative_design+dependency:realised_orientation+endpoint:communication_representation+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:language_representation+locus:sentient_inward+operation:communication_representation+operation:meaning_truth
X026,D01;D02;D03;D05,D3,U01,18,2,1,3,2,X01;X03;X04,S01;S02;S03,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+correction:renewed_inquiry+dependency:accepted_meaning+dependency:realised_orientation+development:open_inquiry+endpoint:communication_representation+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+expression:consequence_visibility+locus:sentient_inward
X027,D01;D02;D03;D04;D05,D3,U01,13,9,1,2,11,X01;X02;X03;X04,S01;S03;S04,no,U01=continuity:inquiry_records_verification+dependency:realised_orientation+development:feedback_critique+endpoint:inquiry_discrimination+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth
X028,D01;D02;D03;D04;D05,D3,U02,6,16,0,2,15,X01;X02;X04;X05,S01;S02;S03;S04;S05,no,U02=consequence:reciprocal_relation+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X029,D01;D02;D03;D05,D3,U01;U02,9,11,0,2,6,X01;X02;X04,S01;S02;S03;S04,no,U01=dependency:accepted_meaning+development:feedback_critique+development:open_inquiry+evaluator:first_person+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward | U02=continuity:public_review_dissent+continuity:relational_memory_repair+counterpart:direct+endpoint:justice_protection+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment
X030,D01;D02;D03;D04;D05,D3,U02,6,25,1,2,4,X01;X02;X03;X04,S01;S02;S03,no,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+locus:relational+operation:care_development+operation:justice_protection
X031,D01;D02;D03;D04;D05,D3,U02,10,18,1,8,2,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+counterpart:direct+counterpart:durable+development:noncoercive_agency+endpoint:care_development+endpoint:reciprocal_relation+evaluator:counterpart+locus:relational+operation:care_development
X032,D01;D02;D03;D04;D05,D3,U02,5,20,0,7,8,X02;X03;X04;X05,S02;S03;S04,no,U02=consequence:care_development+consequence:reciprocal_relation+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+development:relational_experience+endpoint:care_development+endpoint:reciprocal_relation+evaluator:counterpart+locus:relational+operation:care_development
X033,D01;D02;D03;D04;D05,D3,U01;U02,10,12,1,8,5,X01;X02;X04,S01;S02;S03;S04,no,U01=dependency:evaluation_discrimination+dependency:realised_orientation+development:feedback_critique+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth | U02=continuity:public_review_dissent+continuity:relational_memory_repair+correction:repair_restitution+counterpart:direct+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X034,D01;D02;D03;D04;D05,D3,U02,10,18,2,1,3,X01;X02;X03;X04,S02;S03,no,U02=consequence:care_development+consequence:reciprocal_relation+continuity:care_succession_agency+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+evaluator:counterpart+locus:relational
X035,D01;D02;D03;D04;D05,D3,U01,15,7,2,8,7,X01;X02;X03;X04;X05,S01;S03;S04,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+dependency:contemplative_design+dependency:evaluation_discrimination+development:feedback_critique+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth
X036,D01;D02;D04;D05,D3,U01;U02,8,9,0,0,7,X01;X02;X04,S01;S03;S04,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:realised_orientation+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward | U02=correction:protection_appeal+correction:repair_restitution+counterpart:direct+development:noncoercive_agency+evaluator:affected_party+evidence_req:affected_party_voice
X037,D01;D02;D03;D04;D05,D3,U01;U02,20,25,0,2,6,X01;X02;X04,S01;S02;S03;S04,no,U01=consequence:inquiry_discrimination+consequence:meaning_truth+continuity:inquiry_records_verification+dependency:contemplative_design+dependency:realised_orientation+endpoint:communication_representation+endpoint:inquiry_discrimination+endpoint:meaning_truth+expression:language_representation+locus:sentient_inward+operation:inquiry_discrimination+operation:meaning_truth | U02=consequence:care_development+consequence:reciprocal_relation+continuity:public_review_dissent+continuity:relational_memory_repair+correction:protection_appeal+counterpart:direct+counterpart:durable+development:noncoercive_agency+development:relational_experience+endpoint:care_development+endpoint:reciprocal_relation+evaluator:counterpart+expression:counterpart_participation+locus:relational+operation:care_development
X038,D01;D02;D03;D04;D05,D3,U02,9,14,1,1,4,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=continuity:care_succession_agency+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment+expression:timing_discretion
X039,D01;D02;D03;D04;D05,D3,U02;U05,10,15,2,2,11,X01;X02;X03;X04,S01;S02;S03;S04,yes,U02=consequence:reciprocal_relation+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+locus:relational | U05=continuity:public_review_dissent+correction:repair_restitution+counterpart:collective+counterpart:durable+development:material_access+endpoint:collective_public+evaluator:affected_party+evidence_req:affected_party_voice
X040,D01;D02;D03;D04;D05,D3,U01;U02,7,9,1,3,2,X01;X02;X03;X04,S01;S02;S03,no,U01=continuity:intergenerational_transmission+dependency:evaluation_discrimination+evaluator:first_person+evidence_req:self_noncontradiction+expression:language_representation+locus:sentient_inward | U02=consequence:reciprocal_relation+correction:repair_restitution+counterpart:direct+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment
X041,D01;D02;D03;D04;D05,D3,U02,14,22,1,0,8,X02;X04,S01;S02;S03,no,U02=consequence:reciprocal_relation+continuity:care_succession_agency+continuity:relational_memory_repair+correction:dialogue_changed_fulfilment+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+locus:relational
X042,D01;D02;D03;D04;D05,D3,U01;U02;U04,9,11,0,10,9,X01;X02;X03;X04,S02;S03;S04,no,U01=continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:contemplative_design+development:feedback_critique+expression:consequence_visibility+expression:language_representation | U02=continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+evaluator:affected_party+evidence_req:affected_party_voice+locus:relational | U04=continuity:skill_tools_maintenance+correction:redesign_procedure+correction:retraining_changed_means+counterpart:material_ecological+development:practice_skill+expression:material_means+false_positive:output_efficiency_proxy
X043,D01;D02;D03;D05,D3,U01,16,5,0,4,9,X01;X02;X03;X04,S01;S02;S04,yes,U01=consequence:inquiry_discrimination+continuity:inquiry_records_verification+dependency:accepted_meaning+dependency:evaluation_discrimination+dependency:realised_orientation+development:feedback_critique+endpoint:inquiry_discrimination+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:inquiry_discrimination
X044,D01;D02;D04;D05,D3,U01,19,8,0,8,10,X01;X02;X04;X05,S01;S03;S04;S05,yes,U01=consequence:inquiry_discrimination+continuity:intergenerational_transmission+dependency:contemplative_design+dependency:realised_orientation+development:open_inquiry+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+locus:sentient_inward+operation:inquiry_discrimination
X045,D01;D02;D03;D04;D05,D3,U02,7,25,0,3,8,X01;X02;X04,S01;S02;S03;S04,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+correction:dialogue_changed_fulfilment+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:timing_discretion+locus:relational+operation:reciprocal_relation
X046,D01;D02;D03;D04;D05,D3,U01;U02;U05,14,16,2,9,15,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,no,U01=consequence:meaning_truth+continuity:intergenerational_transmission+dependency:realised_orientation+development:feedback_critique+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+locus:sentient_inward+operation:meaning_truth | U02=consequence:justice_protection+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:justice_protection+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+operation:justice_protection | U05=consequence:collective_public+correction:repair_restitution+counterpart:collective+counterpart:durable+development:continuity_exposure+development:material_access+endpoint:collective_public+evaluator:affected_party+evaluator:future_ecological+evidence_req:affected_party_voice+evidence_req:long_horizon_effect
X047,D01;D02;D04;D05,D3,U01,13,5,1,0,6,X01;X02;X04,S01;S04,no,U01=continuity:inquiry_records_verification+dependency:contemplative_design+development:open_inquiry+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:first_person+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward
X048,D01;D02;D03;D04;D05,D3,U02,6,9,2,4,7,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=correction:protection_appeal+correction:repair_restitution+counterpart:direct+endpoint:justice_protection+evaluator:affected_party+evidence_req:affected_party_voice
X049,D01;D02;D03;D04;D05,D3,U02;U05,8,12,4,5,11,X01;X02;X03;X04;X05,S01;S02;S04;S05,no,U02=correction:repair_restitution+counterpart:direct+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+evidence_req:reciprocal_fulfilment+expression:counterpart_participation | U05=continuity:reserve_reliable_provision+correction:repair_restitution+counterpart:collective+endpoint:collective_public+evaluator:affected_party+evaluator:future_ecological+evidence_req:affected_party_voice+evidence_req:long_horizon_effect+expression:counterpart_participation
X050,D01;D02;D03;D04;D05,D3,U02,5,15,2,3,8,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=continuity:care_succession_agency+correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+development:relational_experience+endpoint:justice_protection+evaluator:affected_party+evidence_req:affected_party_voice+expression:counterpart_participation
X051,D01;D02;D03;D04;D05,D3,U02,4,23,1,7,7,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+locus:relational+operation:justice_protection
X052,D01;D02;D03;D04;D05,D3,U02,3,18,0,0,10,X01;X02;X04,S01;S02;S03;S04,no,U02=consequence:justice_protection+continuity:care_succession_agency+continuity:public_review_dissent+counterpart:direct+counterpart:durable+development:noncoercive_agency+endpoint:care_development+endpoint:justice_protection+evaluator:affected_party+evidence_req:affected_party_voice+operation:justice_protection
X053,D01;D02;D03;D04;D05,D3,U01;U02;U04,15,13,1,11,7,X01;X02;X04;X05,S01;S02;S03;S04;S05,no,U01=consequence:inquiry_discrimination+dependency:accepted_meaning+dependency:realised_orientation+development:feedback_critique+endpoint:inquiry_discrimination+endpoint:meaning_truth+evaluator:skilled_peer+evidence_req:competence_peer_review+locus:sentient_inward+operation:inquiry_discrimination | U02=consequence:reciprocal_relation+continuity:relational_memory_repair+counterpart:direct+counterpart:durable+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+expression:counterpart_participation | U04=continuity:skill_tools_maintenance+counterpart:material_ecological+endpoint:ecological_continuity+endpoint:material_provision+evaluator:future_ecological+evaluator:skilled_peer+evidence_req:bodily_material_effect+evidence_req:long_horizon_effect
X054,D01;D02;D03;D04;D05,D3,U01;U02,7,10,1,5,9,X02;X03;X04,S01;S04,yes,U01=consequence:meaning_truth+dependency:contemplative_design+endpoint:meaning_truth+operation:meaning_truth | U02=continuity:public_review_dissent+correction:protection_appeal+correction:repair_restitution+counterpart:direct+dependency:relational_feedback+evaluator:affected_party+evidence_req:affected_party_voice
X055,D02;D03;D04;D05,D3,U01;U04,10,5,6,12,8,X01;X02;X03,S01;S04;S05,yes,U01=consequence:inquiry_discrimination+dependency:realised_orientation+endpoint:inquiry_discrimination+evaluator:skilled_peer+evidence_req:competence_peer_review+locus:sentient_inward+operation:inquiry_discrimination | U04=consequence:ecological_continuity+counterpart:material_ecological+development:material_access+endpoint:ecological_continuity+endpoint:skill_design+evaluator:skilled_peer+locus:material_ecological+operation:ecological_continuity
X056,D01;D02;D03;D05,D3,U01,14,1,0,2,8,X01;X03;X04,S01;S03;S05,yes,U01=consequence:inquiry_discrimination+continuity:inquiry_records_verification+continuity:intergenerational_transmission+dependency:contemplative_design+endpoint:communication_representation+endpoint:inquiry_discrimination+locus:sentient_inward+operation:inquiry_discrimination
X057,D01;D02;D03;D04;D05,D3,U02;U04;U05,12,18,1,19,19,X01;X02;X03;X04;X05,S01;S02;S03;S04;S05,no,U02=consequence:reciprocal_relation+continuity:public_review_dissent+correction:dialogue_changed_fulfilment+counterpart:direct+counterpart:durable+development:relational_experience+endpoint:reciprocal_relation+evaluator:affected_party+evidence_req:affected_party_voice+expression:counterpart_participation+expression:timing_discretion+operation:reciprocal_relation | U04=consequence:ecological_continuity+consequence:material_provision+continuity:skill_tools_maintenance+counterpart:material_ecological+development:practice_skill+endpoint:ecological_continuity+endpoint:material_provision+evaluator:future_ecological+evidence_req:long_horizon_effect+expression:material_means+operation:ecological_continuity+operation:material_provision | U05=consequence:collective_public+continuity:public_review_dissent+continuity:reserve_reliable_provision+counterpart:collective+counterpart:durable+endpoint:collective_public+evaluator:affected_party+evaluator:future_ecological+evidence_req:affected_party_voice+evidence_req:long_horizon_effect+expression:consequence_visibility+expression:counterpart_participation+locus:collective_public+operation:collective_public
X058,D01;D02;D03;D04;D05,D3,U01;U02;U05,13,14,4,11,16,X01;X02;X03;X04;X05,S02;S03;S04,no,U01=consequence:inquiry_discrimination+continuity:intergenerational_transmission+dependency:realised_orientation+development:open_inquiry+endpoint:inquiry_discrimination+expression:consequence_visibility+expression:language_representation+operation:inquiry_discrimination | U02=continuity:care_succession_agency+continuity:public_review_dissent+correction:repair_restitution+counterpart:direct+counterpart:durable+development:noncoercive_agency+development:relational_experience+endpoint:care_development | U05=consequence:continuity_transmission+continuity:ecological_regeneration+continuity:public_review_dissent+correction:repair_restitution+counterpart:collective+counterpart:durable+development:continuity_exposure+endpoint:continuity_transmission+expression:consequence_visibility+operation:continuity_transmission
X059,D01;D02;D03;D04;D05,D3,U01,22,7,2,5,4,X01;X02;X03;X04,S01;S04,no,U01=consequence:communication_representation+consequence:meaning_truth+continuity:inquiry_records_verification+dependency:accepted_meaning+dependency:realised_orientation+development:open_inquiry+endpoint:communication_representation+endpoint:meaning_truth+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:communication_representation
X060,D01;D02;D03;D04;D05,D3,U01;U02,14,14,1,3,5,X01;X02;X03;X04,S01;S02;S03;S04,no,U01=dependency:accepted_meaning+dependency:evaluation_discrimination+development:feedback_critique+development:open_inquiry+evaluator:first_person+evaluator:skilled_peer+evidence_req:competence_peer_review+evidence_req:self_noncontradiction+expression:consequence_visibility+locus:sentient_inward+operation:meaning_truth | U02=continuity:care_succession_agency+continuity:public_review_dissent+correction:protection_appeal+counterpart:direct+development:noncoercive_agency+endpoint:reciprocal_relation+evaluator:counterpart+evidence_req:reciprocal_fulfilment+expression:counterpart_participation
X061,D01;D02;D03;D04;D05,D3,U02,6,31,10,5,8,X01;X02;X03;X04,S01;S02;S03;S04,no,U02=consequence:care_development+consequence:justice_protection+consequence:reciprocal_relation+continuity:care_succession_agency+correction:protection_appeal+correction:repair_restitution+counterpart:direct+counterpart:durable+dependency:relational_feedback+development:noncoercive_agency+development:relational_experience+endpoint:care_development+endpoint:justice_protection+endpoint:reciprocal_relation+expression:timing_discretion+locus:relational+operation:care_development+operation:justice_protection
X062,D01;D02;D03;D04;D05,D3,U02;U04,6,15,7,11,5,X02;X03;X04,S01;S02;S03;S04,no,U02=consequence:reciprocal_relation+continuity:relational_memory_repair+counterpart:direct+counterpart:durable+endpoint:care_development+endpoint:reciprocal_relation+evaluator:affected_party+evaluator:counterpart+evidence_req:affected_party_voice+expression:counterpart_participation+locus:relational | U04=consequence:material_provision+correction:redesign_procedure+counterpart:material_ecological+development:practice_skill+endpoint:material_provision+expression:material_means+operation:material_provision
