anonymous_id,source_id,member_name,faculty,middle_memberships,durability_class,derived_function_memberships,cross_cutting_requirements,arrangement_scales,pass_three_residual
X038,V-08b,saumyata,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X039,V-09a,Gaurav,vritti,M02;M05,durable-responsibility-for-complete-lifecycle,justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X040,V-09b,saralta,vritti,M01;M05;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,no
X041,V-10a,Vishwas,vritti,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,no
X042,V-10b,saujanyata,vritti,M01;M03;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X043,V-11a,Satya,vritti,M02,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;shared-local-coordination,yes
X044,V-11b,dharma,vritti,M02,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X045,V-12a,Nyaya,vritti,M06,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X046,V-12b,samvedna,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X047,V-13a,Tadatmayata,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;shared-local-coordination,no
X048,V-13b,sahas,vritti,M01;M03;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X049,V-14a,Samyama,vritti,M01;M06,durable-responsibility-for-complete-lifecycle,justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X050,V-14b,niyam,vritti,M01;M03;M06;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X051,V-15a,Veerta,vritti,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X052,V-15b,dheerta,vritti,M01;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X053,V-16a,Bhav,vritti,M01;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;production-work,inquiry-and-evidence;protected-participation;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X054,V-16b,samveg,vritti,M02;M03,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination,yes
X055,V-17a,Jati,vritti,M02,durable-responsibility-for-complete-lifecycle,education-sanskar;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means,personal-practice;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X056,V-17b,kaal,vritti,M02,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;durable-care-and-intergenerational-relation;wider-temporal-and-ecological-coordination,yes
X057,V-18a,Tushti,vritti,M01;M03;M06;M07,durable-responsibility-for-complete-lifecycle,justice-security;production-work;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X058,V-18b,pushti,vritti,M01;M03;M07;M08,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X059,M-01a,Bhakti,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination,no
X060,M-01b,tanmayata,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X061,M-02a,Mamta,mun,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X062,M-02b,udarta,mun,M03;M04;M06,durable-responsibility-for-complete-lifecycle,justice-security;production-work,protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X063,M-03a,Samman,mun,M04;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X064,M-03b,sauhardta,mun,M01;M02;M05,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation,yes
X065,M-04a,Sneha,mun,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X066,M-04b,nishtha,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X067,M-05a,Putra-putri,mun,M04;M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation,yes
X068,M-05b,anurag,mun,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X069,M-06a,Sathi,mun,M04;M06,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X070,M-06b,dayitva,mun,M01;M03;M06;M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X071,M-07a,Sahyogi,mun,M03;M04,durable-responsibility-for-complete-lifecycle,justice-security;production-work,protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X072,M-07b,kartavya,mun,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X073,M-08a,Svayatta,mun,M03;M04;M08,durable-responsibility-for-complete-lifecycle,production-work,embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X074,M-08b,samriddhi,mun,M03,durable-responsibility-for-complete-lifecycle,production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X075,M-09a,Hita,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X076,M-09b,svasthya,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X077,M-10a,Priya,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation,no
X078,M-10b,pravrittiyan,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X079,M-11a,Ullas,mun,M05,durable-responsibility-distributed-or-conditional,education-sanskar,inquiry-and-evidence;embodiment-and-means,personal-practice;direct-relation,yes
X080,M-11b,haas,mun,M05,supportive-or-episodic-external-condition,education-sanskar;justice-security;health-restraint,inquiry-and-evidence;protected-participation;embodiment-and-means,personal-practice;direct-relation;shared-local-coordination,yes
X081,M-12a,Sheel,mun,M01;M06;M07,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X082,M-12b,sankoch,mun,M04,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X083,M-13a,Guru,mun,M04,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X084,M-13b,pramanik,mun,M01;M03;M06,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X085,M-14a,Shishya,mun,M04,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X086,M-14b,jigyasu,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,durable-care-and-intergenerational-relation;shared-local-coordination,no
X087,M-15a,Bhai-mitra,mun,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation,no
X088,M-15b,pragati,mun,M02;M03,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;production-work;exchange-reserve,inquiry-and-evidence;protected-participation;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X089,M-16a,Bahan,mun,M06,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation,no
X090,M-16b,unnati,mun,M03,durable-responsibility-for-complete-lifecycle,justice-security;production-work;exchange-reserve,protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X091,M-17a,Sweekruti,mun,M01;M02;M05,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;shared-local-coordination,yes
X092,M-17b,swagat,mun,M02;M05,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X093,M-18a,Ruchi,mun,M08,durable-responsibility-for-complete-lifecycle,education-sanskar;health-restraint;production-work,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination,no
X094,M-18b,pehchan,mun,M01;M03,durable-responsibility-for-complete-lifecycle,production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X095,M-19a,Sukh,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation,no
X096,M-19b,sfoorti,mun,M01,durable-responsibility-for-complete-lifecycle,education-sanskar,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X097,M-20a,Pati-patni,mun,M04;M06,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X098,M-20b,yatitva-satitva,mun,M01;M02;M03;M04;M05,durable-responsibility-for-complete-lifecycle,education-sanskar;justice-security;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X099,M-21a,Mata,mun,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X100,M-21b,poshan,mun,M03;M06;M07;M08,durable-responsibility-for-complete-lifecycle,justice-security,protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X101,M-22a,Pita,mun,M04,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,yes
X102,M-22b,sanrakshan,mun,M07,durable-responsibility-for-complete-lifecycle,justice-security,inquiry-and-evidence;protected-participation;continuity-and-succession,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination,no
X103,M-23a,Mridu-kathor,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X104,M-23b,vahan-samvahan,mun,M02;M03;M08,durable-responsibility-for-complete-lifecycle,production-work;exchange-reserve,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession,personal-practice;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X105,M-24a,Sheet-ushna,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X106,M-24b,poshan,mun,M03;M08,durable-responsibility-for-complete-lifecycle,justice-security;production-work;exchange-reserve,protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X107,M-25a,Khatta,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X108,M-25b,poshan,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X109,M-26a,Meetha,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;embodiment-and-means;continuity-and-succession,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X110,M-26b,poshan,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X111,M-27a,Chirchira-charpara,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint,inquiry-and-evidence;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X112,M-27b,poshan,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
X113,M-28a,Kadua,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint,inquiry-and-evidence;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,personal-practice;direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,no
X114,M-28b,poshan,mun,M08,durable-responsibility-for-complete-lifecycle,health-restraint;production-work,inquiry-and-evidence;protected-participation;embodiment-and-means;continuity-and-succession;ecological-and-long-horizon-consequence,direct-relation;durable-care-and-intergenerational-relation;shared-local-coordination;wider-temporal-and-ecological-coordination,yes
