anonymous_id,feature_01_entry_form,feature_02_ontological_locus,feature_03_operation_field,feature_04_consequence_field,feature_05_evidence_and_evaluators,feature_06_counterpart_and_topology,feature_07_internal_dependencies,feature_08_endpoint_and_provenance,feature_09_development_and_orientation,feature_10_expression_requirements,feature_11_evidence_requirements,feature_12_correction_and_protection,feature_13_continuity_and_transmission,feature_14_external_relations,feature_15_universality,feature_16_false_positive_and_open
X011,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:meaning_truth,consequence:skill_design,evaluator:first_person;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:meaning_truth;endpoint:skill_design;provenance:d;provenance:i,development:noncoercive_agency;development:open_inquiry,expression:unspecified,evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:unspecified,continuity:unspecified,relation:corr;relation:enab;scope:s_cor;scope:s_evd,universality:u_h,false_positive:unspecified;open:no
X012,entry:inward_operation_orientation;residual:closed,locus:material_ecological;locus:sentient_inward,operation:inquiry_discrimination,consequence:inquiry_discrimination;consequence:material_provision,evaluator:affected_party;evaluator:skilled_peer;evidence:collective_public;evidence:communication_representation;evidence:inquiry_discrimination;evidence:material_provision;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:t,dependency:unspecified,endpoint:collective_public;endpoint:communication_representation;endpoint:inquiry_discrimination;endpoint:material_provision;endpoint:skill_design;provenance:d;provenance:i,development:continuity_exposure;development:feedback_critique;development:material_access,expression:consequence_visibility;expression:language_representation;expression:material_means,evidence_req:affected_party_voice;evidence_req:competence_peer_review,correction:unspecified,continuity:inquiry_records_verification,relation:const;relation:corr;relation:evid;scope:n_evd;scope:n_exp;scope:s_cor,universality:u_h,false_positive:unspecified;open:no
X013,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:inquiry_discrimination,consequence:reciprocal_relation,evaluator:affected_party;evaluator:first_person;evaluator:skilled_peer;evidence:collective_public;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:selection_embodiment,endpoint:collective_public;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:open_inquiry;development:practice_skill,expression:unspecified,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:unspecified,continuity:inquiry_records_verification;continuity:reserve_reliable_provision,relation:corr;relation:enab;relation:evid;scope:n_cor;scope:n_evd,universality:u_h,false_positive:unspecified;open:no
X014,entry:material_sensory_property;residual:open,locus:material_ecological;locus:relational,operation:inquiry_discrimination,consequence:inquiry_discrimination;consequence:reciprocal_relation,evaluator:affected_party;evaluator:skilled_peer;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:t,dependency:unspecified,endpoint:inquiry_discrimination;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i;provenance:o,development:continuity_exposure;development:feedback_critique;development:material_access,expression:counterpart_participation,evidence_req:affected_party_voice;evidence_req:competence_peer_review,correction:unspecified,continuity:inquiry_records_verification;continuity:intergenerational_transmission,relation:const;relation:corr;relation:evid;scope:n_cor;scope:n_evd;scope:n_exp,universality:u_h,false_positive:unspecified;open:yes
X015,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:material_provision,consequence:material_provision,evaluator:first_person;evidence:agency_action;evidence:care_development;evidence:material_provision,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:agency_action;endpoint:care_development;endpoint:material_provision;provenance:d;provenance:i,development:feedback_critique;development:practice_skill,expression:consequence_visibility,evidence_req:self_noncontradiction,correction:unspecified,continuity:reserve_reliable_provision;continuity:skill_tools_maintenance,relation:enab;relation:sust;scope:n_evd;scope:s_con,universality:u_h,false_positive:care_control_proxy;false_positive:short_term_satisfaction_proxy;open:no
X016,entry:criterion_result;residual:closed,locus:material_ecological;locus:relational,operation:continuity_transmission;operation:inquiry_discrimination;operation:material_provision,consequence:continuity_transmission;consequence:inquiry_discrimination;consequence:material_provision;consequence:reciprocal_relation,evaluator:affected_party;evaluator:future_ecological;evidence:collective_public;evidence:continuity_transmission;evidence:ecological_continuity;evidence:material_provision,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:collective_public;endpoint:continuity_transmission;endpoint:ecological_continuity;endpoint:inquiry_discrimination;endpoint:material_provision;endpoint:reciprocal_relation;provenance:d;provenance:i,development:continuity_exposure;development:material_access,expression:material_means,evidence_req:affected_party_voice;evidence_req:long_horizon_effect,correction:ecological_restoration;correction:repair_restitution,continuity:ecological_regeneration;continuity:intergenerational_transmission,relation:evid;relation:sust;relation:trans;scope:n_con;scope:n_evd;scope:s_con,universality:u_h,false_positive:authority_status_proxy;false_positive:output_efficiency_proxy;open:no
X017,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:relational;locus:sentient_inward,operation:unspecified,consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evaluator:future_ecological;evidence:collective_public;evidence:ecological_continuity;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:realised_orientation;dependency:selection_embodiment,endpoint:collective_public;endpoint:ecological_continuity;endpoint:reciprocal_relation;provenance:d;provenance:i,development:bodily_capability;development:feedback_critique;development:noncoercive_agency;development:relational_experience,expression:consequence_visibility,evidence_req:affected_party_voice;evidence_req:long_horizon_effect;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:dialogue_changed_fulfilment;correction:repair_restitution,continuity:inquiry_records_verification;continuity:relational_memory_repair,relation:const;relation:corr;relation:sust;scope:n_cor;scope:n_evd;scope:s_con,universality:u_h,false_positive:care_control_proxy;open:no
X018,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:care_development;operation:ecological_continuity;operation:meaning_truth,consequence:agency_action;consequence:care_development;consequence:continuity_transmission;consequence:ecological_continuity;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evaluator:future_ecological;evidence:continuity_transmission;evidence:ecological_continuity;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:c;topology:d;topology:e;topology:r;topology:t,dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:agency_action;endpoint:care_development;endpoint:continuity_transmission;endpoint:ecological_continuity;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:feedback_critique,expression:unspecified,evidence_req:affected_party_voice;evidence_req:long_horizon_effect;evidence_req:reciprocal_fulfilment,correction:repair_restitution,continuity:care_succession_agency;continuity:ecological_regeneration;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:const;relation:evid;relation:sust;scope:n_con;scope:n_evd;scope:n_exp,universality:u_h,false_positive:care_control_proxy;false_positive:short_term_satisfaction_proxy;open:no
X019,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:care_development;operation:justice_protection;operation:meaning_truth,consequence:care_development;consequence:justice_protection;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:skilled_peer;evidence:care_development;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:r;topology:t,dependency:accepted_meaning;dependency:relational_feedback;dependency:selection_embodiment,endpoint:care_development;endpoint:justice_protection;endpoint:meaning_truth;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:bodily_capability;development:practice_skill;development:relational_experience,expression:embodied_capability;expression:material_means;expression:timing_discretion,evidence_req:competence_peer_review,correction:protection_appeal;correction:repair_restitution;correction:treatment_accommodation,continuity:care_succession_agency;continuity:intergenerational_transmission,relation:const;relation:prot;relation:sust;scope:n_con;scope:n_cor;scope:n_occ,universality:u_h,false_positive:care_control_proxy;open:no
X020,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:meaning_truth,consequence:agency_action;consequence:meaning_truth,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evidence:agency_action;evidence:collective_public;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:r;topology:t,dependency:realised_orientation,endpoint:agency_action;endpoint:collective_public;endpoint:meaning_truth;endpoint:reciprocal_relation;provenance:d;provenance:i,development:continuity_exposure;development:noncoercive_agency,expression:consequence_visibility;expression:counterpart_participation;expression:language_representation,evidence_req:affected_party_voice;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:intergenerational_transmission,relation:corr;relation:evid;scope:n_cor;scope:n_evd,universality:u_h,false_positive:unspecified;open:no
X021,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action;operation:meaning_truth,consequence:aesthetic_affinity,evaluator:affected_party;evaluator:counterpart;evaluator:first_person;evidence:agency_action;evidence:collective_public;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:selection_embodiment,endpoint:aesthetic_affinity;endpoint:agency_action;endpoint:collective_public;endpoint:reciprocal_relation;provenance:d;provenance:i,development:material_access;development:open_inquiry;development:practice_skill,expression:counterpart_participation;expression:embodied_capability,evidence_req:affected_party_voice;evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:renewed_inquiry;correction:repair_restitution,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:enab;relation:evid;relation:prot;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:compliance_force_proxy;open:no
X022,entry:inward_operation_orientation;residual:open,locus:sentient_inward,operation:care_development;operation:meaning_truth,consequence:care_development;consequence:meaning_truth,evaluator:first_person;evidence:care_development,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:unspecified,endpoint:care_development;endpoint:meaning_truth;provenance:d;provenance:o,development:practice_skill,expression:unspecified,evidence_req:self_noncontradiction,correction:redesign_procedure,continuity:intergenerational_transmission,relation:enab;relation:evid;scope:n_evd;scope:s_exp,universality:u_h,false_positive:authority_status_proxy;open:yes
X023,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action,consequence:agency_action,evaluator:affected_party;evaluator:first_person;evidence:agency_action;evidence:collective_public;evidence:material_provision;evidence:meaning_truth,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:accepted_meaning;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:material_provision;endpoint:meaning_truth;provenance:d;provenance:i,development:feedback_critique;development:material_access;development:open_inquiry;development:practice_skill,expression:counterpart_participation,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:renewed_inquiry;correction:repair_restitution,continuity:inquiry_records_verification;continuity:intergenerational_transmission;continuity:reserve_reliable_provision,relation:enab;relation:evid;relation:trans;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:no
X024,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:material_provision;operation:meaning_truth,consequence:unspecified,evaluator:first_person;evaluator:skilled_peer;evidence:agency_action;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j;topology:t,dependency:accepted_meaning;dependency:evaluation_discrimination;dependency:realised_orientation,endpoint:reciprocal_relation;provenance:d;provenance:i,development:noncoercive_agency;development:open_inquiry,expression:consequence_visibility,evidence_req:competence_peer_review;evidence_req:self_noncontradiction,correction:renewed_inquiry,continuity:intergenerational_transmission,relation:corr;relation:enab;relation:trans;scope:n_cor;scope:s_con;scope:s_evd,universality:u_h,false_positive:authority_status_proxy;open:no
X025,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:communication_representation;operation:meaning_truth,consequence:care_development;consequence:communication_representation;consequence:meaning_truth,evaluator:affected_party;evaluator:counterpart;evaluator:skilled_peer;evidence:care_development;evidence:collective_public;evidence:communication_representation,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:contemplative_design;dependency:realised_orientation,endpoint:care_development;endpoint:collective_public;endpoint:communication_representation;endpoint:meaning_truth;provenance:d;provenance:i,development:material_access,expression:language_representation;expression:material_means,evidence_req:affected_party_voice;evidence_req:competence_peer_review,correction:repair_restitution,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:reserve_reliable_provision,relation:evid;relation:prot;relation:trans;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:unspecified;open:no
X026,entry:inward_operation_orientation;residual:closed,locus:embodied_person;locus:sentient_inward,operation:unspecified,consequence:unspecified,evaluator:counterpart;evaluator:skilled_peer;evidence:communication_representation;evidence:meaning_truth,counterpart:collective;counterpart:direct;topology:b;topology:c;topology:d;topology:j;topology:t,dependency:accepted_meaning;dependency:realised_orientation;dependency:selection_embodiment,endpoint:communication_representation;endpoint:meaning_truth;provenance:d;provenance:i,development:open_inquiry;development:practice_skill,expression:consequence_visibility;expression:material_means,evidence_req:competence_peer_review,correction:renewed_inquiry,continuity:inquiry_records_verification;continuity:intergenerational_transmission,relation:corr;relation:enab;relation:evid;scope:n_cor;scope:n_evd;scope:s_exp,universality:u_h,false_positive:verbal_display_proxy;open:no
X027,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action;operation:continuity_transmission;operation:meaning_truth,consequence:agency_action,evaluator:affected_party;evaluator:first_person;evidence:collective_public;evidence:inquiry_discrimination,counterpart:collective;counterpart:direct;counterpart:material_ecological;topology:b;topology:c;topology:d;topology:e;topology:j,dependency:realised_orientation;dependency:selection_embodiment,endpoint:agency_action;endpoint:collective_public;endpoint:inquiry_discrimination;provenance:d;provenance:i,development:feedback_critique;development:practice_skill,expression:consequence_visibility;expression:embodied_capability,evidence_req:affected_party_voice;evidence_req:self_noncontradiction,correction:repair_restitution,continuity:care_succession_agency;continuity:inquiry_records_verification;continuity:public_review_dissent,relation:corr;relation:evid;relation:sust;scope:n_cor;scope:n_evd;scope:s_con,universality:u_h,false_positive:unspecified;open:no
X028,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:continuity_transmission,consequence:reciprocal_relation,evaluator:affected_party;evaluator:counterpart;evaluator:skilled_peer;evidence:collective_public;evidence:continuity_transmission;evidence:justice_protection;evidence:reciprocal_relation,counterpart:collective;counterpart:direct;counterpart:durable;topology:c;topology:d;topology:j;topology:r;topology:t,dependency:accepted_meaning;dependency:relational_feedback,endpoint:collective_public;endpoint:continuity_transmission;endpoint:reciprocal_relation;provenance:d;provenance:i,development:continuity_exposure;development:noncoercive_agency,expression:counterpart_participation,evidence_req:affected_party_voice;evidence_req:competence_peer_review;evidence_req:long_horizon_effect;evidence_req:reciprocal_fulfilment,correction:repair_restitution,continuity:intergenerational_transmission,relation:const;relation:prot;relation:sust;scope:n_evd;scope:s_con;scope:s_cor,universality:u_h,false_positive:unspecified;open:no
X029,entry:inward_operation_orientation;residual:closed,locus:sentient_inward,operation:agency_action,consequence:collective_public,evaluator:counterpart;evaluator:first_person;evidence:agency_action;evidence:justice_protection;evidence:meaning_truth;evidence:reciprocal_relation,counterpart:direct;topology:b;topology:d;topology:j,dependency:accepted_meaning;dependency:selection_embodiment,endpoint:collective_public;endpoint:justice_protection;endpoint:reciprocal_relation;provenance:d;provenance:i,development:feedback_critique;development:open_inquiry,expression:language_representation,evidence_req:reciprocal_fulfilment;evidence_req:self_noncontradiction,correction:unspecified,continuity:public_review_dissent;continuity:relational_memory_repair;continuity:skill_tools_maintenance,relation:corr;relation:evid;scope:s_cor;scope:s_evd,universality:u_h,false_positive:unspecified;open:no
X030,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:care_development;operation:justice_protection,consequence:care_development;consequence:justice_protection;consequence:reciprocal_relation,evaluator:skilled_peer;evidence:care_development,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:r;topology:t,dependency:accepted_meaning;dependency:realised_orientation;dependency:selection_embodiment,endpoint:care_development;endpoint:justice_protection;endpoint:reciprocal_relation;provenance:d;provenance:i,development:practice_skill,expression:unspecified,evidence_req:competence_peer_review,correction:protection_appeal;correction:repair_restitution,continuity:care_succession_agency;continuity:intergenerational_transmission,relation:const;relation:prot;relation:sust;scope:n_cor;scope:n_occ;scope:s_con,universality:u_h,false_positive:care_control_proxy;false_positive:compliance_force_proxy;open:no
X031,entry:role_relation;residual:closed,locus:embodied_person;locus:relational,operation:care_development,consequence:care_development;consequence:meaning_truth;consequence:reciprocal_relation,evaluator:counterpart;evaluator:skilled_peer;evidence:care_development;evidence:communication_representation;evidence:meaning_truth;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:r;topology:t,dependency:selection_embodiment,endpoint:care_development;endpoint:communication_representation;endpoint:meaning_truth;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:noncoercive_agency,expression:material_means,evidence_req:competence_peer_review,correction:redesign_procedure,continuity:care_succession_agency;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:const;relation:corr;relation:enab;scope:n_cor;scope:n_exp;scope:n_occ,universality:u_h,false_positive:care_control_proxy;open:no
X032,entry:role_relation;residual:closed,locus:relational,operation:care_development,consequence:care_development;consequence:reciprocal_relation,evaluator:counterpart;evidence:care_development;evidence:communication_representation;evidence:continuity_transmission;evidence:skill_design,counterpart:collective;counterpart:direct;counterpart:durable;topology:b;topology:c;topology:d;topology:r;topology:t,dependency:accepted_meaning,endpoint:care_development;endpoint:communication_representation;endpoint:continuity_transmission;endpoint:reciprocal_relation;endpoint:skill_design;provenance:d;provenance:i,development:practice_skill;development:relational_experience,expression:unspecified,evidence_req:unspecified,correction:protection_appeal;correction:repair_restitution,continuity:ecological_regeneration;continuity:intergenerational_transmission;continuity:skill_tools_maintenance,relation:const;relation:enab;relation:evid;scope:n_evd;scope:n_exp;scope:n_occ,universality:u_h,false_positive:compliance_force_proxy;open:no
